agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.824645,181.862,13.0762,11.809,0.000134712
0.825598,142.142,16.183,14.852,0.000136498
0.825817,208.013,61.163,58.6637,5.01168e-05
0.827021,158.009,48.0247,47.3525,2.43423e-05
0.827185,153.954,37.3858,35.5618,9.00958e-05
0.827823,154.954,48.5024,47.3815,4.32969e-05
0.82966,262.796,31.9418,28.9933,0.00013215
0.831215,210.132,37.5775,35.2036,8.84445e-05
0.834656,164.028,15.6598,14.7942,6.87154e-05
0.841513,154.077,19.3432,17.7916,0.00011657
0.836165,166.041,27.7681,26.6163,6.02674e-05
0.836728,162.947,27.6608,26.6247,5.54279e-05
0.837337,154.797,6.9885,5.93766,0.00024136
0.84015,222.035,36.6065,35.0869,5.43665e-05
0.840707,163.109,16.7769,14.8107,0.000128804
0.840392,171.947,15.3219,14.7691,5.37373e-05
0.840673,186.135,22.5956,20.6484,0.000126243
0.841926,155.264,7.1049,5.93754,0.00026568
0.840766,290.095,72.7713,68.9306,8.23803e-05
0.843139,176.005,27.6669,26.5651,6.19107e-05
0.843364,155.744,7.24874,5.93885,0.000285503
0.843484,157.991,48.7433,47.3625,4.84069e-05
0.847631,170.007,12.9666,11.8318,0.000143945
0.844745,151.945,18.6466,17.7858,6.01849e-05
0.848235,255.029,37.2266,34.8287,9.21748e-05
0.849385,228.966,41.8179,40.8382,3.95358e-05
0.850535,140.199,7.01152,5.94832,0.000248505
0.853245,376.104,133.672,128.134,7.32262e-05
0.854151,207.069,37.4112,35.2235,8.48495e-05
0.853544,182.943,19.0812,17.7014,0.000108846
0.854416,203.871,37.6158,35.2475,8.94729e-05
0.854885,218.968,44.4685,41.0069,0.000121204
0.85705,163.02,49.6886,47.342,8.27993e-05
0.854567,158.883,19.4892,17.7812,0.000130274
0.858397,175.007,25.1242,23.6299,8.87364e-05
0.860371,105.031,6.45266,5.9675,0.00011857
0.8607,190.072,60.9954,58.8631,5.22589e-05
0.867349,257.281,48.2069,43.5708,0.000164103
0.86484,256.056,88.8272,84.0984,0.000102479
0.863027,172.914,12.8854,11.825,0.000141702
0.866763,203.977,30.5913,29.3575,5.41268e-05
0.867206,181.923,6.24843,5.89885,7.87326e-05
0.86948,261.106,36.9253,34.7667,8.68516e-05
0.871978,139.963,19.4905,17.8294,0.000125882
0.873754,227.084,61.3599,58.4136,6.24625e-05
0.873638,183.009,36.7653,35.375,5.56657e-05
